CVE ID,Field,From Date,To Date,Old Value,New Value
CVE-2023-42133,last_modified,2024-10-11 00:00:00,2024-10-20 00:00:00,2024-10-11,2024-10-15
CVE-2023-42133,vuln_status,2024-10-11 00:00:00,2024-10-20 00:00:00,Received,Awaiting Analysis
CVE-2023-42133,vendor_name,2024-10-11 00:00:00,2024-10-20 00:00:00,,PAX
CVE-2024-33578,last_modified,2024-10-11 00:00:00,2024-10-20 00:00:00,2024-10-11,2024-10-15
CVE-2024-33578,vuln_status,2024-10-11 00:00:00,2024-10-20 00:00:00,Received,Awaiting Analysis
CVE-2024-33578,vendor_name,2024-10-11 00:00:00,2024-10-20 00:00:00,,Lenovo
CVE-2024-33579,last_modified,2024-10-11 00:00:00,2024-10-20 00:00:00,2024-10-11,2024-10-15
CVE-2024-33579,vuln_status,2024-10-11 00:00:00,2024-10-20 00:00:00,Received,Awaiting Analysis
CVE-2024-33579,vendor_name,2024-10-11 00:00:00,2024-10-20 00:00:00,,Lenovo
CVE-2024-33580,last_modified,2024-10-11 00:00:00,2024-10-20 00:00:00,2024-10-11,2024-10-15
CVE-2024-33580,vuln_status,2024-10-11 00:00:00,2024-10-20 00:00:00,Received,Awaiting Analysis
CVE-2024-33580,vendor_name,2024-10-11 00:00:00,2024-10-20 00:00:00,,Lenovo
CVE-2024-33581,last_modified,2024-10-11 00:00:00,2024-10-20 00:00:00,2024-10-11,2024-10-15
CVE-2024-33581,vuln_status,2024-10-11 00:00:00,2024-10-20 00:00:00,Received,Awaiting Analysis
CVE-2024-33581,vendor_name,2024-10-11 00:00:00,2024-10-20 00:00:00,,Lenovo
CVE-2024-33582,last_modified,2024-10-11 00:00:00,2024-10-20 00:00:00,2024-10-11,2024-10-15
CVE-2024-33582,vuln_status,2024-10-11 00:00:00,2024-10-20 00:00:00,Received,Awaiting Analysis
CVE-2024-33582,vendor_name,2024-10-11 00:00:00,2024-10-20 00:00:00,,Lenovo
CVE-2024-38365,last_modified,2024-10-11 00:00:00,2024-10-20 00:00:00,2024-10-11,2024-10-15
CVE-2024-38365,vuln_status,2024-10-11 00:00:00,2024-10-20 00:00:00,Received,Awaiting Analysis
