cve-id,published_date,updated_date,cvss_score,os_name_versions,os_version_specified,Other_Environment_Restrictions,matadonnées_conformitie,patch_availability,lien_vers_le_patch,patch_datemitigation_measures,Metigation_availability
CVE-2014-0160,2014-04-07T23:55:03.893000+01:00,2024-07-02T17:52:39.560000+01:00,7.5,"Linux all versions, Ubuntu 12.04, 12.10, 13.10, Debian 6.0, 7.0, 8.0, Fedora 19, 20, Red Hat 6.0, 6.5, Mageia 3, 4, OpenSUSE 12.3, 13.1",Yes,Yes,1,Yes,http://www.openssl.org/source/,2014-04-08,N/A,No
CVE-2014-0224,2014-06-05T22:55:07.817000+01:00,2023-11-07T03:18:13.190000+01:00,7.4,"Red Hat Enterprise Linux 4, Fedora 5, openSUSE 6.0, Windows 19, Linux 20",Yes,Yes,1,No,N/A,N/A,"{'measures': ['Upgrade OpenSSL to a version that is not vulnerable to CVE-2014-0224, specifically versions 0.9.8za, 1.0.0m, or 1.0.1h or later.', 'Implement strict input validation to prevent malformed ChangeCipherSpec messages.', 'Utilize a Web Application Firewall (WAF) to filter and monitor traffic for suspicious activity related to TLS handshakes.', 'Regularly audit and monitor your systems for unusual behavior or unauthorized access attempts.', 'Consider using alternative cryptographic libraries that are not affected by this vulnerability.'], 'technical_adjustments': ['Disable support for older versions of TLS that are susceptible to CCS injection.', 'Configure servers to reject connections that do not meet security standards.'], 'immediate_containment': ['Isolate affected systems from the network until they can be patched or upgraded.'], 'long_term_risk_management': ['Establish a regular patch management process to ensure timely updates to all software components.'], 'security_best_practices': ['Conduct regular security training for staff to recognize and respond to potential security threats.', 'Implement multi-factor authentication to enhance access control.']}",Yes
CVE-2014-1776,2014-04-27T11:55:03.340000+01:00,2024-07-24T17:47:41.447000+01:00,9.8,Windows all versions,No,Yes,1,Yes,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2014/ms14-021,2024-07-24,N/A,No
CVE-2014-3566,2014-10-15T01:55:02.137000+01:00,2023-09-12T15:55:31.563000+01:00,3.4,"Red Hat Enterprise Linux 5, Red Hat Enterprise Linux Desktop 6.0, Red Hat Enterprise Linux Server 7.0, Red Hat Enterprise Linux Workstation 6.0, IBM AIX 5.3, macOS 6.1, Mageia 7.1, SUSE Linux Enterprise Desktop all versions, SUSE Linux Enterprise Server 9.0, openSUSE 10.0, Fedora 11.0, Debian 12.0, Oracle Database 12.3",Yes,Yes,0,Yes,https://access.redhat.com/articles/1232123,2023-09-12,N/A,No
CVE-2014-6271,2014-09-24T19:48:04.477000+01:00,2024-07-24T17:47:47.667000+01:00,9.8,"Debian 7.0, Ubuntu 10.04, Red Hat Enterprise Linux 4, 5, 6, 7, Oracle Linux 4, 5, 6, Mageia 3.0, 4.0, Arista EOS 4.9.0 to 4.14.4f, QNAP QTS 4.1.1 and earlier, SUSE Linux Enterprise 10 SP3, 11, 12, macOS 10.0.0 to 10.10.0, VMware ESXi 4.0, 4.1",Yes,Yes,1,Yes,http://advisories.mageia.org/MGASA-2014-0388.html,2014-09-24,N/A,No
CVE-2014-3704,2014-10-16T01:55:06.653000+01:00,2021-09-29T15:08:04.473000+01:00,0.0,"Debian 7.0, Linux all versions",Yes,Yes,1,Yes,https://www.drupal.org/SA-CORE-2014-005,2014-10-15,N/A,No
CVE-2014-4114,2014-10-15T11:55:07.817000+01:00,2024-07-16T18:23:54.207000+01:00,7.8,Windows Vista SP2,Yes,Yes,1,Yes,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2014/ms14-060,2024-07-16,N/A,No
CVE-2014-4113,2014-10-15T11:55:07.473000+01:00,2024-07-02T17:57:12.317000+01:00,7.8,Windows Server 2003 SP2,Yes,Yes,1,Yes,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2014/ms14-058,2024-07-02,N/A,No
CVE-2014-7169,2014-09-25T02:55:04.367000+01:00,2024-07-24T17:47:57.690000+01:00,9.8,"Linux all versions, macOS 10.0.0 to 10.10.0, QNAP QTS 4.1.1 Build 0927 and earlier, Oracle Linux 4.x, Red Hat Enterprise Linux 4.x to 7.x, Ubuntu 10.04, 12.04, 14.04, Mageia 3.0, 4.0, SUSE Linux 11 SP3, 12, Debian 7.0",Yes,Yes,1,Yes,http://advisories.mageia.org/MGASA-2014-0393.html,2014-09-28,N/A,No
CVE-2014-0569,2014-10-15T11:55:06.193000+01:00,2021-11-10T18:11:07.083000+01:00,0.0,"Windows all versions, Linux before 11.2.202.411, macOS before 10.15",Yes,Yes,1,Yes,http://helpx.adobe.com/security/products/flash-player/apsb14-22.html,2024-09-23,N/A,No
CVE-2015-0311,2015-01-23T21:59:04.897000+00:00,2024-07-02T18:41:45.947000+01:00,9.8,"Windows all versions, macOS all versions, Linux 11.2.202.438 and earlier",Yes,Yes,1,Yes,http://helpx.adobe.com/security/products/flash-player/apsa15-01.html,2015-01-24,N/A,No
CVE-2015-0313,2015-02-02T19:59:00.053000+00:00,2024-07-02T18:41:33.407000+01:00,9.8,"Windows all versions, Linux before 11.2.202.442, macOS before 13.0.0.269 and 14.x through 16.x before 16.0.0.305",Yes,Yes,1,Yes,https://helpx.adobe.com/security/products/flash-player/apsb15-04.html,2015-02-07,N/A,No
