cve-id,published_date,updated_date,os_name_versions,matadonnées_conformitie,patch_availability,date_de_patch
CVE-2014-0160,2014-04-07T23:55:03.893000+01:00,2024-07-02T17:52:39.560000+01:00,"Ubuntu 12.04, Debian 12.10, Fedora 13.10, Red Hat Enterprise Linux 19, Mageia 20, OpenSUSE 3",1,Yes,2014-04-08
CVE-2014-0224,2014-06-05T22:55:07.817000+01:00,2023-11-07T03:18:13.190000+01:00,"Red Hat Enterprise Linux 4, Fedora 5, openSUSE 6.0, Windows 19, Siemens Firmware 20",0,No,N/A
CVE-2014-1776,2014-04-27T11:55:03.340000+01:00,2024-07-24T17:47:41.447000+01:00,Windows XP SP2,1,Yes,2024-07-24
CVE-2014-3566,2014-10-15T01:55:02.137000+01:00,2023-09-12T15:55:31.563000+01:00,"Red Hat Enterprise Linux 5, Red Hat Enterprise Linux Desktop 6.0, Red Hat Enterprise Linux Server 7.0, Red Hat Enterprise Linux Workstation 6.0, IBM AIX 5.3, macOS 6.1, Mageia 7.1, SUSE Linux Enterprise Desktop *, SUSE Linux Enterprise Server 3.0, openSUSE 4.0, Fedora 19, Debian 20, Oracle Database 21",0,Yes,2014-10-15
CVE-2014-6271,2014-09-24T19:48:04.477000+01:00,2024-07-24T17:47:47.667000+01:00,"Debian 7.0, Arista EOS 4.9.0 to 4.9.12, Oracle Linux 4 to 6, QNAP QTS 4.1.1 and earlier, Mageia 3.0 to 4.0, Red Hat Enterprise Linux 4.0 to 7.0, SUSE Linux 10 SP3 to 12, Ubuntu 10.04 to 14.04, macOS 10.0.0 to 10.10.0",1,Yes,2014-09-24
CVE-2014-3704,2014-10-16T01:55:06.653000+01:00,2021-09-29T15:08:04.473000+01:00,"Debian 7.0, Linux All versions that can run Drupal 7.x",1,Yes,2014-10-15
CVE-2014-4114,2014-10-15T11:55:07.817000+01:00,2024-07-16T18:23:54.207000+01:00,Windows Vista SP2,1,Yes,2024-07-16
CVE-2014-4113,2014-10-15T11:55:07.473000+01:00,2024-07-02T17:57:12.317000+01:00,Windows Server 2003 SP2,1,Yes,2024-07-02
CVE-2014-7169,2014-09-25T02:55:04.367000+01:00,2024-07-24T17:47:57.690000+01:00,"Linux 4.0, Oracle Linux 4.9.0 to <4.9.12, Red Hat Enterprise Linux 4.10.0 to <4.10.9, Ubuntu 4.11.0 to <4.11.11, Debian 4.12.0 to <4.12.9, Mageia 4.13.0 to <4.13.9, Arista EOS 4.14.0 to <4.14.4f, QNAP QTS 4.1.1 and earlier, SUSE Linux Enterprise 4.1.1 Build 0927 and earlier, macOS 10.0.0 to <10.10.0",1,Yes,2014-09-28
CVE-2014-0569,2014-10-15T11:55:06.193000+01:00,2021-11-10T18:11:07.083000+01:00,"Windows All versions prior to 13.0.0.250, macOS All versions prior to 15.0.0.189, Linux All versions prior to 11.2.202.411",1,Yes,2014-10-15
CVE-2015-0311,2015-01-23T21:59:04.897000+00:00,2024-07-02T18:41:45.947000+01:00,"Windows 8.1 and below, macOS All versions up to 16.0.0.287, Linux 11.2.202.438 and earlier versions",1,Yes,2015-01-24
CVE-2015-0313,2015-02-02T19:59:00.053000+00:00,2024-07-02T18:41:33.407000+01:00,"Windows 11.2.202.442, macOS 13.1, Linux 12, openSUSE 12",1,Yes,2015-02-07
CVE-2015-0336,2015-03-13T17:59:04.083000+00:00,2017-07-01T01:29:12.343000+00:00,N/A,1,Yes,2015-03-13
CVE-2015-0359,2015-04-14T23:59:12.680000+01:00,2017-10-07T02:29:00.507000+01:00,"Windows 11.2.202.457, macOS 13.2, Linux 12, openSUSE 11 SP3",1,Yes,2015-04-15
CVE-2015-1635,2015-04-14T21:59:01.263000+01:00,2019-05-14T19:53:21.813000+00:00,Windows 7 SP1,1,Yes,2015-04-14
CVE-2015-1701,2015-04-21T11:59:00.073000+01:00,2024-07-16T18:34:33.033000+01:00,Windows 2003 SP2,1,Yes,2015-04-21
CVE-2015-2426,2015-07-20T19:59:01.210000+01:00,2019-05-15T15:23:31.857000+00:00,Windows Vista SP2,1,Yes,2015-07-20
CVE-2015-2545,2015-09-09T01:59:52.190000+01:00,2024-07-16T18:39:18.637000+01:00,"Windows 7 SP1, macOS 10",1,Yes,2023-01-03
CVE-2015-5119,2015-07-08T14:59:05.677000+00:00,2024-07-16T18:24:10.387000+01:00,"Windows 13.x, macOS 14.x, Linux 18.x, openSUSE 11.x, Red Hat Enterprise Linux 5.0",1,Yes,2015-07-08
CVE-2015-5122,2015-07-14T10:59:00.213000+00:00,2024-07-02T18:42:40.230000+01:00,"Windows 13.x through 13.0.0.302, macOS 14.x through 18.0.0.203, Linux 11.x through 11.2.202.481, openSUSE 12, SUSE Linux Enterprise Desktop 11-SP3, SUSE Linux Enterprise Workstation Extension 11-SP4",1,Yes,2015-07-17
CVE-2016-0189,2016-05-11T02:59:30.537000+01:00,2024-07-09T19:25:02.227000+01:00,Windows 7 SP1,1,Yes,2023-01-03
CVE-2016-0728,2016-02-08T03:59:10.887000+00:00,2023-02-13T00:15:55.107000+01:00,"Android 4.0, Linux 4.0.1, Debian 4.0.2, Ubuntu 4.0.3",1,Yes,2016-01-20
CVE-2016-0800,2016-03-01T20:59:00.253000+00:00,2022-12-13T13:15:19.773000+01:00,"SUSE Linux Enterprise Server 12, SUSE Linux Enterprise Desktop 12, SUSE Linux Enterprise Software Development Kit 12, iOS unknown, Linux all versions",1,Yes,2016-03-01
CVE-2016-1019,2016-04-07T11:59:01.447000+01:00,2022-11-10T21:10:39.387000+01:00,"Windows All versions, macOS All versions, openSUSE 13.2, SUSE Linux Enterprise 12, 12-SP1",1,Yes,2016-04-08
CVE-2016-2107,2016-05-05T02:59:03.200000+01:00,2024-02-16T20:19:33.320000+01:00,"Red Hat Enterprise Linux 7.0, openSUSE 7.2, Android 42.1, Debian 13.2, Ubuntu 4.0",0,No,N/A
CVE-2016-4117,2016-05-11T02:59:46.137000+01:00,2024-07-16T18:34:10.403000+01:00,"Windows 13.2, macOS 12, Linux 12-SP1, Chrome OS 5.0, openSUSE 6.0",1,Yes,2024-07-16
CVE-2016-5195,2016-11-10T21:59:00.197000+00:00,2024-07-24T15:27:14.490000+01:00,"Linux 2.x to 4.x, Ubuntu 12.04, Red Hat Enterprise Linux 14.04, Debian 16.04, Fedora 16.10",1,Yes,2016-10-18
CVE-2016-7056,2018-09-10T17:29:00.543000+01:00,2023-02-13T00:25:16.890000+01:00,"Debian 8.0, Red Hat Enterprise Linux 9.0, Ubuntu 6.0",1,Yes,2017-06-07
